image_path,mask_path,split
D:\FDS\Small_project\Fire Detection\Dataset\images\R24_ethanol_medium_op41_sz68\frame_0109_t3.9s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R24_ethanol_medium_op41_sz68\frame_0109_t3.9s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R6_acetone_small_op80_sz55\frame_0436_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R6_acetone_small_op80_sz55\frame_0436_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S26_DECAY_DIESEL_large\frame_0386_t12.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S26_DECAY_DIESEL_large\frame_0386_t12.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R18_diesel_medium_op82_sz32\frame_0218_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R18_diesel_medium_op82_sz32\frame_0218_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F13_propane_large_op15\frame_0013_t3.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F13_propane_large_op15\frame_0013_t3.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F11_propane_small_op15\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F11_propane_small_op15\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R53_methane_medium_op15_sz70\frame_0109_t3.8s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R53_methane_medium_op15_sz70\frame_0109_t3.8s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S1_GROWTH_FAST_PROPANE_large\frame_0296_t12.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S1_GROWTH_FAST_PROPANE_large\frame_0296_t12.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R84_propane_medium_op50_sz42\frame_0109_t3.8s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R84_propane_medium_op50_sz42\frame_0109_t3.8s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W11_WIND_1_9ms_N-HEPTANE_small\frame_0109_t3.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W11_WIND_1_9ms_N-HEPTANE_small\frame_0109_t3.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S46_PULSATING_N-HEPTANE_large\frame_0867_t26.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S46_PULSATING_N-HEPTANE_large\frame_0867_t26.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R64_n-heptane_medium_op50_sz35\frame_0436_t13.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R64_n-heptane_medium_op50_sz35\frame_0436_t13.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F15_propane_medium_op50\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F15_propane_medium_op50\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S40_PULSATING_ETHANOL_small\frame_0539_t17.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S40_PULSATING_ETHANOL_small\frame_0539_t17.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R17_methane_medium_op84_sz46\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R17_methane_medium_op84_sz46\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R45_diesel_medium_op80_sz40\frame_0875_t26.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R45_diesel_medium_op80_sz40\frame_0875_t26.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\B5_ethanol_medium_room\frame_0080_t20.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\B5_ethanol_medium_room\frame_0080_t20.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S20_GROWTH_SLOW_ETHANOL_medium\frame_0762_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S20_GROWTH_SLOW_ETHANOL_medium\frame_0762_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S1_GROWTH_FAST_PROPANE_large\frame_0593_t21.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S1_GROWTH_FAST_PROPANE_large\frame_0593_t21.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R30_diesel_large_op80_sz52\frame_0109_t3.8s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R30_diesel_large_op80_sz52\frame_0109_t3.8s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F6_acetone_large_op50\frame_0093_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F6_acetone_large_op50\frame_0093_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R49_acetone_medium_op28_sz33\frame_0763_t23.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R49_acetone_medium_op28_sz33\frame_0763_t23.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A6_medium_room_opening_100\frame_0053_t13.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A6_medium_room_opening_100\frame_0053_t13.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R74_propane_small_op71_sz48\frame_0327_t10.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R74_propane_small_op71_sz48\frame_0327_t10.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R100_diesel_small_op89_sz44\frame_0655_t20.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R100_diesel_small_op89_sz44\frame_0655_t20.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S36_PULSATING_ETHANOL_large\frame_0107_t4.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S36_PULSATING_ETHANOL_large\frame_0107_t4.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F9_methane_medium_op50\frame_0093_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F9_methane_medium_op50\frame_0093_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R10_diesel_large_op81_sz56\frame_0437_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R10_diesel_large_op81_sz56\frame_0437_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\EXTREME_TEST_5719\frame_0763_t31.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\EXTREME_TEST_5719\frame_0763_t31.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S18_GROWTH_FAST_METHANE_small\frame_0899_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S18_GROWTH_FAST_METHANE_small\frame_0899_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S18_GROWTH_FAST_METHANE_small\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S18_GROWTH_FAST_METHANE_small\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S33_DECAY_ETHANOL_small\frame_0095_t3.9s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S33_DECAY_ETHANOL_small\frame_0095_t3.9s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S6_GROWTH_SLOW_ETHANOL_small\frame_0169_t11.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S6_GROWTH_SLOW_ETHANOL_small\frame_0169_t11.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S5_GROWTH_FAST_ETHANOL_small\frame_0481_t18.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S5_GROWTH_FAST_ETHANOL_small\frame_0481_t18.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W18_WIND_4_6ms_ACETONE_large\frame_0110_t3.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W18_WIND_4_6ms_ACETONE_large\frame_0110_t3.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S34_DECAY_ACETONE_medium\frame_0384_t12.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S34_DECAY_ACETONE_medium\frame_0384_t12.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\B2_propane_medium_room\frame_0093_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\B2_propane_medium_room\frame_0093_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\D6_heptane_wind_7ms\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\D6_heptane_wind_7ms\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R10_diesel_large_op81_sz56\frame_0546_t16.9s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R10_diesel_large_op81_sz56\frame_0546_t16.9s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R29_n-heptane_large_op54_sz47\frame_0327_t10.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R29_n-heptane_large_op54_sz47\frame_0327_t10.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\D6_heptane_wind_7ms\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\D6_heptane_wind_7ms\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A5_medium_room_opening_50\frame_0066_t16.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A5_medium_room_opening_50\frame_0066_t16.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R27_ethanol_large_op74_sz51\frame_0873_t26.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R27_ethanol_large_op74_sz51\frame_0873_t26.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S17_GROWTH_FAST_DIESEL_large\frame_0780_t27.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S17_GROWTH_FAST_DIESEL_large\frame_0780_t27.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S4_GROWTH_SLOW_PROPANE_medium\frame_0089_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S4_GROWTH_SLOW_PROPANE_medium\frame_0089_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W12_WIND_4_6ms_METHANE_medium\frame_0776_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W12_WIND_4_6ms_METHANE_medium\frame_0776_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R60_ethanol_small_op37_sz22\frame_0871_t26.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R60_ethanol_small_op37_sz22\frame_0871_t26.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R59_methane_large_op60_sz25\frame_0436_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R59_methane_large_op60_sz25\frame_0436_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F5_acetone_small_op50\frame_0013_t3.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F5_acetone_small_op50\frame_0013_t3.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R30_diesel_large_op80_sz52\frame_0656_t20.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R30_diesel_large_op80_sz52\frame_0656_t20.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R41_acetone_small_op15_sz39\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R41_acetone_small_op15_sz39\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S39_PULSATING_ETHANOL_small\frame_0971_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S39_PULSATING_ETHANOL_small\frame_0971_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S9_GROWTH_FAST_DIESEL_small\frame_0780_t27.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S9_GROWTH_FAST_DIESEL_small\frame_0780_t27.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S15_GROWTH_SLOW_METHANE_small\frame_0724_t27.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S15_GROWTH_SLOW_METHANE_small\frame_0724_t27.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F12_propane_small_op35\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F12_propane_small_op35\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R25_acetone_small_op14_sz41\frame_0763_t23.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R25_acetone_small_op14_sz41\frame_0763_t23.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S39_PULSATING_ETHANOL_small\frame_0323_t10.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S39_PULSATING_ETHANOL_small\frame_0323_t10.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R25_acetone_small_op14_sz41\frame_0218_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R25_acetone_small_op14_sz41\frame_0218_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R49_acetone_medium_op28_sz33\frame_0654_t20.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R49_acetone_medium_op28_sz33\frame_0654_t20.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\C1_propane_door_closed\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\C1_propane_door_closed\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S4_GROWTH_SLOW_PROPANE_medium\frame_0178_t11.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S4_GROWTH_SLOW_PROPANE_medium\frame_0178_t11.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R41_acetone_small_op15_sz39\frame_0763_t23.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R41_acetone_small_op15_sz39\frame_0763_t23.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A4_medium_room_opening_0\frame_0093_t23.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A4_medium_room_opening_0\frame_0093_t23.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R55_acetone_small_op79_sz75\frame_0654_t20.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R55_acetone_small_op79_sz75\frame_0654_t20.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W5_WIND_4_3ms_ACETONE_medium\frame_0443_t13.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W5_WIND_4_3ms_ACETONE_medium\frame_0443_t13.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W9_WIND_3_6ms_METHANE_large\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W9_WIND_3_6ms_METHANE_large\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\D6_heptane_wind_7ms\frame_0040_t10.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\D6_heptane_wind_7ms\frame_0040_t10.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R16_methane_medium_op47_sz46\frame_0437_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R16_methane_medium_op47_sz46\frame_0437_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S11_GROWTH_FAST_N-HEPTANE_medium\frame_0592_t21.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S11_GROWTH_FAST_N-HEPTANE_medium\frame_0592_t21.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W12_WIND_4_6ms_METHANE_medium\frame_0665_t20.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W12_WIND_4_6ms_METHANE_medium\frame_0665_t20.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S50_PULSATING_ACETONE_medium\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S50_PULSATING_ACETONE_medium\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F7_n-heptane_medium_op50\frame_0040_t10.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F7_n-heptane_medium_op50\frame_0040_t10.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\B2_propane_medium_room\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\B2_propane_medium_room\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R60_ethanol_small_op37_sz22\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R60_ethanol_small_op37_sz22\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R55_acetone_small_op79_sz75\frame_0436_t13.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R55_acetone_small_op79_sz75\frame_0436_t13.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S30_DECAY_ACETONE_large\frame_0383_t12.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S30_DECAY_ACETONE_large\frame_0383_t12.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R91_methane_medium_op82_sz52\frame_0765_t23.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R91_methane_medium_op82_sz52\frame_0765_t23.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R9_acetone_large_op51_sz33\frame_0109_t3.9s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R9_acetone_large_op51_sz33\frame_0109_t3.9s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S23_DECAY_DIESEL_small\frame_0581_t18.3s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S23_DECAY_DIESEL_small\frame_0581_t18.3s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S25_DECAY_DIESEL_medium\frame_0194_t6.6s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S25_DECAY_DIESEL_medium\frame_0194_t6.6s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\F17_propane_medium_op75\frame_0026_t6.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\F17_propane_medium_op75\frame_0026_t6.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S18_GROWTH_FAST_METHANE_small\frame_0799_t27.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S18_GROWTH_FAST_METHANE_small\frame_0799_t27.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R85_diesel_small_op78_sz63\frame_0218_t7.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R85_diesel_small_op78_sz63\frame_0218_t7.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\D7_heptane_wind_10ms\frame_0066_t16.5s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\D7_heptane_wind_10ms\frame_0066_t16.5s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W4_WIND_4_6ms_DODECANE_large\frame_0554_t16.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W4_WIND_4_6ms_DODECANE_large\frame_0554_t16.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S49_PULSATING_N-HEPTANE_large\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S49_PULSATING_N-HEPTANE_large\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R14_ethanol_medium_op74_sz42\frame_0654_t20.2s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R14_ethanol_medium_op74_sz42\frame_0654_t20.2s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R50_diesel_large_op85_sz44\frame_0984_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R50_diesel_large_op85_sz44\frame_0984_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\W16_WIND_1_1ms_N-HEPTANE_large\frame_0327_t10.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\W16_WIND_1_1ms_N-HEPTANE_large\frame_0327_t10.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A5_medium_room_opening_50\frame_0120_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A5_medium_room_opening_50\frame_0120_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R93_methane_large_op59_sz68\frame_0218_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R93_methane_large_op59_sz68\frame_0218_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S34_DECAY_ACETONE_medium\frame_0096_t3.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S34_DECAY_ACETONE_medium\frame_0096_t3.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\A3_small_room_opening_100\frame_0040_t10.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\A3_small_room_opening_100\frame_0040_t10.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S28_DECAY_DIESEL_medium\frame_0000_t0.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S28_DECAY_DIESEL_medium\frame_0000_t0.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S29_DECAY_DIESEL_medium\frame_0097_t3.7s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S29_DECAY_DIESEL_medium\frame_0097_t3.7s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R60_ethanol_small_op37_sz22\frame_0980_t30.0s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R60_ethanol_small_op37_sz22\frame_0980_t30.0s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\S25_DECAY_DIESEL_medium\frame_0388_t12.4s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\S25_DECAY_DIESEL_medium\frame_0388_t12.4s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R87_ethanol_small_op86_sz45\frame_0218_t7.1s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R87_ethanol_small_op86_sz45\frame_0218_t7.1s.png,train
D:\FDS\Small_project\Fire Detection\Dataset\images\R6_acetone_small_op80_sz55\frame_0109_t3.8s.png,D:\FDS\Small_project\Fire Detection\Dataset\masks_binary\R6_acetone_small_op80_sz55\frame_0109_t3.8s.png,train
